code,description
GENDER//F,
MEDS_BIRTH,
LAB//51087//UNK,Collection duration of Urine
LAB//50940//UNK,
LAB//51079//UNK,
LAB//51071//UNK,
LAB//51092//UNK,
LAB//51075//UNK,
LAB//51090//UNK,
LAB//51074//UNK,
LAB//50853//ng/mL,25-hydroxyvitamin D3 [Mass/volume] in Serum or Plasma
LAB//51266//UNK,
LAB//51265//K/uL,Platelets [#/volume] in Blood by Automated count
LAB//50922//mg/dL,Ethanol [Mass/volume] in Blood
LAB//51274//sec,Prothrombin time (PT)
LAB//51237//UNK,INR in Platelet poor plasma by Coagulation assay
LAB//51089//UNK,
LAB//50941//UNK,
LAB//51301//K/uL,Leukocytes [#/volume] in Blood by Automated count
LAB//51249//%,
LAB//51200//%,Eosinophils/100 leukocytes in Blood by Automated count
LAB//51244//%,Lymphocytes/100 leukocytes in Blood by Automated count
LAB//51256//%,Neutrophils/100 leukocytes in Blood by Automated count
LAB//51146//%,Basophils/100 leukocytes in Blood by Automated count
LAB//51279//m/uL,Erythrocytes [#/volume] in Blood by Automated count
LAB//51254//%,Monocytes/100 leukocytes in Blood by Automated count
LAB//51277//%,Erythrocyte distribution width [Ratio] by Automated count
LAB//51250//fL,MCV [Entitic volume] by Automated count
LAB//51221//%,Hematocrit [Volume Fraction] of Blood by Automated count
LAB//51222//g/dL,Hemoglobin [Mass/volume] in Blood
LAB//51248//pg,MCH [Entitic mass] by Automated count
LAB//51491//units,pH of Urine by Test strip
LAB//51498// ,
LAB//51478//mg/dL,Glucose [Mass/volume] in Urine by Test strip
LAB//51487//UNK,
LAB//51514//mg/dL,Urobilinogen [Mass/volume] in Urine by Test strip
LAB//51486//UNK,
LAB//51466//UNK,
LAB//51484//mg/dL,Ketones [Mass/volume] in Urine by Test strip
LAB//51506//UNK,
LAB//51508//UNK,
LAB//51464//mg/dL,
LAB//51492//mg/dL,Protein [Mass/volume] in Urine by Test strip
LAB//50993//uIU/mL,
LAB//50900//ng/mL,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma
LAB//50960//mg/dL,Magnesium [Mass/volume] in Serum or Plasma
LAB//50952//ug/dL,Iron [Mass/volume] in Serum or Plasma
LAB//50927//IU/L,Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma
LAB//50998//mg/dL,Transferrin [Mass/volume] in Serum or Plasma
LAB//50953//ug/dL,Iron binding capacity [Mass/volume] in Serum or Plasma
LAB//50868//mEq/L,Anion gap 4 in Serum or Plasma
LAB//50885//mg/dL,Bilirubin.total [Mass/volume] in Serum or Plasma
LAB//50861//IU/L,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma
LAB//50893//mg/dL,Calcium [Mass/volume] in Serum or Plasma
LAB//50864//ng/mL,Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma
